0:[45.0, 565.0] 
1:[457.5, 565.0]
2:[45.0, 455.0]
3:[175.0, 455.0]
4:[175.0, 350.0]
5:[175.0, 250.0]
6:[175.0, 140.0]
7:[45.0, 370.0]
8:[85.0, 370.0]
9:[85.0, 230.0] 
10:[45, 230.0]
11:[130.0, 300.0]
12:[457.5, 370.0] 
13:[457.5, 300.0]
14:[457.5, 225.0]
15:[200.0, 300.0]
16:[385.0, 300.0]
17:[530.0, 300.0]
18:[870.0, 565.0]
19:[870.0, 455.0]
20:[740.0, 455.0] 
21:[740.0, 350.0]
22:[740.0, 250.0]
23:[740.0, 140.0]
24:[870.0, 370.0] 
25:[830.0, 370.0] 
26:[830.0, 230.0] 
27:[715.0, 300.0]
30:[740.0, 300.0]
31:[870.0, 230.0]
